Nom,Prenom,IdHAL de l'Auteur,IdHAL des auteurs de la publication,Titre,Docid,Année de Publication,Type de Document,Domaine,Mots-clés,Laboratoire de Recherche
Panteley,Elena,elena-panteley,"['paolo-frasca', 'elena-panteley', 'romain-postoyan', 'luca-zaccarian']",['Hybrid and networked dynamical systems'],4628500,2024,Ouvrage,"Sciences de l'ingénieur, Automatique, Mathématiques, Domaine non défini","['Multi-agent systems', 'Data-driven control', 'Observer design', 'Neural networks', 'Hybrid dynamical systems', 'Distributed control', 'Reset control', 'Event-triggered control', 'Networked systems', 'Stability analysis', 'Switched systems']","['Centre de Recherche en Automatique de Nancy', 'Inria Grenoble - Rhône-Alpes', 'Grenoble Images Parole Signal Automatique', 'Laboratoire des signaux et systèmes', ""Laboratoire d'analyse et d'architecture des systèmes""]"
Paris,Jean-luc,hal-04184182,['alexandre-ern'],['Finite Elements III: First-Order and Time-Dependent PDEs'],3226051,2021,Ouvrage,"Mathématiques, Domaine non défini",[],"[""Centre d'Enseignement et de Recherche en Mathématiques et Calcul Scientifique"", 'Inria de Paris']"
Paris,Jean-luc,hal-04184182,['alexandre-ern'],"['Finite Elements II: Galerkin Approximation, Elliptic and Mixed PDEs']",3226050,2021,Ouvrage,"Mathématiques, Domaine non défini",[],"[""Centre d'Enseignement et de Recherche en Mathématiques et Calcul Scientifique"", 'Inria de Paris']"
Paris,Jean-luc,hal-04184182,['alexandre-ern'],['Finite Elements I: Approximation and Interpolation'],3226049,2021,Ouvrage,"Mathématiques, Domaine non défini",[],"[""Centre d'Enseignement et de Recherche en Mathématiques et Calcul Scientifique"", 'Inria de Paris']"
Paris,Jean-luc,hal-04184182,"['ericroditi', 'ghislaine-gueudet', 'aline-robert']","[""Enseigner les mathématiques, didactique et enjeux de l'apprentissage""]",1808149,2018,Ouvrage,"Mathématiques, Domaine non défini, Sciences humaines et sociales, Sciences de l'éducation",[],"['Laboratoire de Didactique André Revuz', ""Centre de Recherche sur l'Education, les apprentissages et la didactique"", 'Education Discours Apprentissages']"
Petit,Nicolas,nicolas-petit-mines,['nicolas-bacaer'],['Une singulière promenade mathématique'],4255617,2023,Ouvrage,Mathématiques,[],Non disponible
Petit,Nicolas,nicolas-petit-mines,"['pierre-petit-67', 'mireille-capitaine', 'p-cattiaux', 'antoine-lejay', 'christophe-leuridan', 'laurent-miclo', 'gilles-pages', 'kolehe-coulibaly-pasquier']",['Séminaire de probabilités XLIX'],1931202,2018,Ouvrage,"Mathématiques, Mathématiques pures","['Random Matrices', 'Large deviations', 'Martingale Theory', 'Quasi-stationary Distribution', 'Stochastic processes', 'Diffusion processes']","['Institut de Mathématiques de Toulouse UMR5219', 'Laboratoire de Mathématiques Blaise Pascal', 'Inria Nancy - Grand Est', 'Institut Élie Cartan de Lorraine', 'Institut Fourier', 'Institut Élie Cartan de Lorraine', 'Inria Sophia Antipolis - Méditerranée', 'Institut Élie Cartan de Lorraine', 'Laboratoire de Probabilités, Statistique et Modélisation', 'Laboratoire de Probabilités, Statistique et Modélisation']"
Petit,Nicolas,nicolas-petit-mines,"['pierre-petit-67', 'florence-merlevede', 'laurent-miclo', 'emmanuel-rio', 'alain-rouault']",['Séminaire de Probabilités LI'],3676900,2022,Ouvrage,"Mathématiques, Mathématiques pures",[],"['Institut Fourier', 'School of Operations Research and Information Engineering', 'Laboratoire Jacques-Louis Lions', 'Instituto de Matematicas', 'Laboratoire de Mathématiques de Versailles', 'Mathématiques Appliquées Paris 5', 'Laboratoire Analyse et de Mathématiques Appliquées', 'Institut de Mathématiques de Toulouse UMR5219', 'Faculty of Mathematics [Vienna]', 'Modélisation aléatoire de Paris X', 'Laboratoire de Mathématiques Raphaël Salem', 'Institut Camille Jordan', 'Institut Camille Jordan', 'Mathématiques Appliquées Paris 5']"
Petit,Laurent,laurent-petit,"['pierre-petit-67', 'mireille-capitaine', 'p-cattiaux', 'antoine-lejay', 'christophe-leuridan', 'laurent-miclo', 'gilles-pages', 'kolehe-coulibaly-pasquier']",['Séminaire de probabilités XLIX'],1931202,2018,Ouvrage,"Mathématiques, Mathématiques pures","['Random Matrices', 'Large deviations', 'Martingale Theory', 'Quasi-stationary Distribution', 'Stochastic processes', 'Diffusion processes']","['Institut de Mathématiques de Toulouse UMR5219', 'Laboratoire de Mathématiques Blaise Pascal', 'Inria Nancy - Grand Est', 'Institut Élie Cartan de Lorraine', 'Institut Fourier', 'Institut Élie Cartan de Lorraine', 'Inria Sophia Antipolis - Méditerranée', 'Institut Élie Cartan de Lorraine', 'Laboratoire de Probabilités, Statistique et Modélisation', 'Laboratoire de Probabilités, Statistique et Modélisation']"
Petit,Laurent,laurent-petit,"['pierre-petit-67', 'florence-merlevede', 'laurent-miclo', 'emmanuel-rio', 'alain-rouault']",['Séminaire de Probabilités LI'],3676900,2022,Ouvrage,"Mathématiques, Mathématiques pures",[],"['Institut Fourier', 'School of Operations Research and Information Engineering', 'Laboratoire Jacques-Louis Lions', 'Instituto de Matematicas', 'Laboratoire de Mathématiques de Versailles', 'Mathématiques Appliquées Paris 5', 'Laboratoire Analyse et de Mathématiques Appliquées', 'Institut de Mathématiques de Toulouse UMR5219', 'Faculty of Mathematics [Vienna]', 'Modélisation aléatoire de Paris X', 'Laboratoire de Mathématiques Raphaël Salem', 'Institut Camille Jordan', 'Institut Camille Jordan', 'Mathématiques Appliquées Paris 5']"
